order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_city,customer_state,order_item_id,seller_id,price,freight_value,seller_city,seller_state,Delay_Days,Is_Delayed,Delivery_Time,Vendor_Delay_Rate,Risk_Score,Risk_Level
ffea406a848c8afe4dec22bf6290ba00,e85ff8cc3cc2c09bdb9204dd7930c0fb,delivered,2017-03-15 17:16:36,2017-04-05 18:48:06,2017-04-05,ffe3e199b9d0b7fb7d2d29a5b9498447,uberlandia,MG,1.0,48162d548f5b1b11b9d29d1e01f75a61,146.9,15.2,piracicaba,SP,0,0,21,0.015625,7.39375,Low
809cadee53cde56e54180cf5d6631443,833cf609a6aec4b27901837d32aa7117,delivered,2017-12-15 11:38:53,2018-01-08 19:27:17,2018-01-17,85163ba34c90e2bd6a3ddbe2995955ee,foz do iguacu,PR,1.0,4869f7a5dfa277a7dca6462dcf3b52b2,170.0,15.94,guariba,SP,-9,0,24,0.10535714285714286,14.575,Low
c642b243037172b9fa789eec22ab713c,b2b7366fa24a7e69a0ad1d4cba6471a9,delivered,2018-01-16 15:21:52,2018-01-20 01:21:25,2018-02-15,8d0e0879191d761df1fde63cd721065d,ipatinga,MG,2.0,de722cd6dad950a92b7d4f82673f8833,40.0,2.71,recife,PE,-26,0,3,0.03560830860534125,3.392581602373887,Low
9da388551ea23281b9bb4cbf12376992,c2546f8bff100a73fc7a10b701dd1fc7,delivered,2018-08-01 23:13:47,2018-08-08 17:18:32,2018-08-10,7ba50edff75214b77f7082278ff258c6,votuporanga,SP,1.0,da8622b14eb17ae2831f4ac5b9dab84a,29.9,12.87,piracicaba,SP,-2,0,6,0.06646058732612056,6.452241112828439,Low
12bac66f44df6a103bb5b982c45f5617,34a57d208c01c5a0d4cb4cfb232e647d,delivered,2018-05-06 09:02:34,2018-05-11 18:43:34,2018-05-22,35276eec8c44aa4f7595449f92185dbf,jaguariuna,SP,1.0,7f7b8245c336066a1f9933c359f11d77,8.9,7.87,mogi mirim,SP,-11,0,5,0.02631578947368421,3.3421052631578947,Low
20ea92819d0fe38fe45b7d09dcc1a4bb,faddf55a7c0936f35b52555c9d23c9c4,delivered,2018-02-01 21:34:39,2018-02-21 18:41:59,2018-03-09,0d7458090043dc830ad0a986f3ac2391,jaqueira,PE,1.0,562fc2f2c2863ab7e79a9e4388a58a14,29.99,25.63,campinas,SP,-16,0,19,0.031496062992125984,7.904724409448819,Low
bb5247b3ad417db4b026c3d57e458a46,d71491ab8f43d315aa8efa10a1dde339,delivered,2018-08-13 10:48:58,2018-08-22 19:28:55,2018-09-13,a299fff2a8f6c4c85b94b32ae35de8e8,parelhas,RN,1.0,9dc79dd988ac42f4d56c340d7048420a,199.9,52.12,sao paulo,SP,-22,0,9,0.0,2.6999999999999997,Low
b1bbf1459cd5cbb3c23aad7656250ced,77e0e2987754751f359ba128d6cfa606,delivered,2017-10-01 12:14:31,2017-10-30 18:35:14,2017-11-14,c18c7db1e430080eb67cece06f62177d,alhandra,PB,1.0,712e6ed8aa4aa1fa65dab41fed5737e4,659.0,210.09,videira,SC,-15,0,29,0.2077922077922078,23.245454545454542,Medium
a849dc1b351c9075b4d4b00c45375016,5ddb22c9735c616559a348873e7ba27b,delivered,2018-04-19 10:59:31,2018-04-30 13:24:40,2018-05-14,dce5cbe093a74750671c9de82f40676d,sao paulo,SP,1.0,7d13fca15225358621be4086e1eb0964,319.99,14.68,ribeirao preto,SP,-14,0,11,0.11594202898550725,11.415942028985505,Low
7c38ea034c4ae0b36dae03dac6c6a7a7,1502f86a2eb8886ffb134f252debcae7,delivered,2018-08-07 19:16:50,2018-08-13 18:22:11,2018-08-28,2773ba74c4194912d068f986562359db,rio de janeiro,RJ,1.0,0241d4d5d36f10f80c644447315af0bd,74.9,24.39,curitiba,PR,-15,0,5,0.04721030042918455,4.804721030042918,Low
